"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","Region"
17,0.252625034332796,0.0890590494755495,0.105844070265452,0.448021380066195,1.00129310415312,3200,2019,"anti-logit Year eff","Asia"
18,0.283335784399093,0.0953680620329224,0.120000941282326,0.491538798387456,1.00112714079031,4300,2020,"anti-logit Year eff","Asia"
19,0.306662260162831,0.0997026699823357,0.137017095829288,0.516242817546368,1.00079472964088,4500,2021,"anti-logit Year eff","Asia"
20,0.118337936187114,0.0545255473999709,0.0394803966379216,0.249343465787393,1.0017987544889,1800,2022,"anti-logit Year eff","Asia"
1,0.167450889783725,0.07646743654084,0.0512421281851155,0.337352664115405,1.00230900609158,1200,2003,"MM.p.uw","Asia"
2,0.169764264473528,0.0653793156578521,0.0605894794104316,0.312909544375861,1.00092595430834,4500,2004,"MM.p.uw","Asia"
3,0.337131141606101,0.0778583249079553,0.19261535125215,0.497415552319682,1.0010429718007,4500,2005,"MM.p.uw","Asia"
4,0.29424817336699,0.0591533311410441,0.186370056499487,0.411500403664122,1.0021399534888,1400,2006,"MM.p.uw","Asia"
5,0.256314337067633,0.0552363359972008,0.155427479011054,0.371604170097361,1.00584994522824,390,2007,"MM.p.uw","Asia"
6,0.295773899378685,0.0552532668546657,0.193184266922023,0.410598934348031,1.00133688396754,3000,2008,"MM.p.uw","Asia"
7,0.318732650743934,0.0509494562347431,0.223150428675819,0.419771424734798,1.00094212482508,4500,2009,"MM.p.uw","Asia"
8,0.377891516359532,0.0535283636397476,0.271897561725875,0.48441925344234,1.00199343658553,1500,2010,"MM.p.uw","Asia"
9,0.233745241210119,0.0465305775744943,0.148858483149449,0.329645579028118,1.00293598652713,880,2011,"MM.p.uw","Asia"
10,0.271436808864218,0.0494202849206546,0.181155964602949,0.374810130589245,1.00141725148678,2700,2012,"MM.p.uw","Asia"
11,0.275515882414923,0.0466214441042079,0.189087942267219,0.371329239664207,1.00298445845397,860,2013,"MM.p.uw","Asia"
12,0.328129275908492,0.0595035765928432,0.213464979984936,0.447694823067009,1.00288089718456,910,2014,"MM.p.uw","Asia"
13,0.424979062389609,0.0573973963103477,0.30994959343601,0.54009834453777,1.00068326819412,4500,2015,"MM.p.uw","Asia"
14,0.300378125077656,0.0452202008101186,0.215820812729824,0.392006586719064,1.00114712195871,4300,2016,"MM.p.uw","Asia"
15,0.37962235241788,0.0492724432669893,0.285049520346579,0.477023338851388,1.00103804978546,4500,2017,"MM.p.uw","Asia"
16,0.364843739983167,0.0450997422238259,0.278141418599182,0.455636679597235,1.00092863692877,4500,2018,"MM.p.uw","Asia"
17,0.320208360538097,0.0486002948483746,0.226848694598355,0.417487894655448,1.00127229452931,3300,2019,"MM.p.uw","Asia"
18,0.343214529901325,0.0479414362103447,0.252332520850256,0.435632116335027,1.00122076660679,3600,2020,"MM.p.uw","Asia"
19,0.36881097507953,0.0497290301851685,0.273268358718393,0.46908036043239,1.00078642700114,4500,2021,"MM.p.uw","Asia"
20,0.204999711289803,0.0442143824685426,0.124628923375791,0.296356584141564,1.00143251468236,2600,2022,"MM.p.uw","Asia"
1,0.167450889783725,0.07646743654084,0.0512421281851155,0.337352664115405,1.00230900609158,1200,2003,"MM.p.w","Asia"
2,0.169764264473528,0.0653793156578521,0.0605894794104316,0.312909544375861,1.00092595430834,4500,2004,"MM.p.w","Asia"
3,0.337131141606101,0.0778583249079553,0.19261535125215,0.497415552319682,1.0010429718007,4500,2005,"MM.p.w","Asia"
4,0.29424817336699,0.0591533311410441,0.186370056499487,0.411500403664122,1.0021399534888,1400,2006,"MM.p.w","Asia"
5,0.256314337067633,0.0552363359972008,0.155427479011054,0.371604170097361,1.00584994522824,390,2007,"MM.p.w","Asia"
6,0.295773899378685,0.0552532668546657,0.193184266922023,0.410598934348031,1.00133688396754,3000,2008,"MM.p.w","Asia"
7,0.318732650743934,0.0509494562347431,0.223150428675819,0.419771424734798,1.00094212482508,4500,2009,"MM.p.w","Asia"
8,0.377891516359532,0.0535283636397476,0.271897561725875,0.48441925344234,1.00199343658553,1500,2010,"MM.p.w","Asia"
9,0.233745241210119,0.0465305775744943,0.148858483149449,0.329645579028118,1.00293598652713,880,2011,"MM.p.w","Asia"
10,0.271436808864218,0.0494202849206546,0.181155964602949,0.374810130589245,1.00141725148678,2700,2012,"MM.p.w","Asia"
11,0.275515882414923,0.0466214441042079,0.189087942267219,0.371329239664207,1.00298445845397,860,2013,"MM.p.w","Asia"
12,0.328129275908492,0.0595035765928432,0.213464979984936,0.447694823067009,1.00288089718456,910,2014,"MM.p.w","Asia"
13,0.424979062389609,0.0573973963103477,0.30994959343601,0.54009834453777,1.00068326819412,4500,2015,"MM.p.w","Asia"
14,0.300378125077656,0.0452202008101186,0.215820812729824,0.392006586719064,1.00114712195871,4300,2016,"MM.p.w","Asia"
15,0.37962235241788,0.0492724432669893,0.285049520346579,0.477023338851388,1.00103804978546,4500,2017,"MM.p.w","Asia"
16,0.364843739983167,0.0450997422238259,0.278141418599182,0.455636679597235,1.00092863692877,4500,2018,"MM.p.w","Asia"
17,0.320208360538097,0.0486002948483746,0.226848694598355,0.417487894655448,1.00127229452931,3300,2019,"MM.p.w","Asia"
18,0.343214529901325,0.0479414362103447,0.252332520850256,0.435632116335027,1.00122076660679,3600,2020,"MM.p.w","Asia"
19,0.36881097507953,0.0497290301851685,0.273268358718393,0.46908036043239,1.00078642700114,4500,2021,"MM.p.w","Asia"
20,0.204999711289803,0.0442143824685426,0.124628923375791,0.296356584141564,1.00143251468236,2600,2022,"MM.p.w","Asia"
1,0.2,NA,NA,NA,NA,NA,2003,"Observed","Asia"
2,0.102040816326531,NA,NA,NA,NA,NA,2004,"Observed","Asia"
3,0.173333333333333,NA,NA,NA,NA,NA,2005,"Observed","Asia"
4,0.130434782608696,NA,NA,NA,NA,NA,2006,"Observed","Asia"
5,0.125984251968504,NA,NA,NA,NA,NA,2007,"Observed","Asia"
6,0.179166666666667,NA,NA,NA,NA,NA,2008,"Observed","Asia"
7,0.183520599250936,NA,NA,NA,NA,NA,2009,"Observed","Asia"
8,0.209677419354839,NA,NA,NA,NA,NA,2010,"Observed","Asia"
9,0.137795275590551,NA,NA,NA,NA,NA,2011,"Observed","Asia"
10,0.108938547486034,NA,NA,NA,NA,NA,2012,"Observed","Asia"
11,0.0943396226415094,NA,NA,NA,NA,NA,2013,"Observed","Asia"
12,0.123711340206186,NA,NA,NA,NA,NA,2014,"Observed","Asia"
13,0.20353982300885,NA,NA,NA,NA,NA,2015,"Observed","Asia"
14,0.208888888888889,NA,NA,NA,NA,NA,2016,"Observed","Asia"
15,0.169550173010381,NA,NA,NA,NA,NA,2017,"Observed","Asia"
16,0.153310104529617,NA,NA,NA,NA,NA,2018,"Observed","Asia"
17,0.125786163522013,NA,NA,NA,NA,NA,2019,"Observed","Asia"
18,0.187943262411348,NA,NA,NA,NA,NA,2020,"Observed","Asia"
19,0.187817258883249,NA,NA,NA,NA,NA,2021,"Observed","Asia"
20,0.0957446808510638,NA,NA,NA,NA,NA,2022,"Observed","Asia"
